stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-60X20X5;Dikdörtgen;60×20×5;60;20;5;4.99;6.36;20.16;3.07;6.72;3.07;1.78;0.69;0.143;29.94;59.87
KP-60X30X2;Dikdörtgen;60×30×2;60;30;2;2.62;3.34;15.05;5.08;5.02;3.39;2.12;1.23;0.173;15.72;31.43
KP-60X30X2.5;Dikdörtgen;60×30×2,5;60;30;2.5;3.21;4.09;17.94;6.0;5.98;4.0;2.09;1.21;0.171;19.26;38.52
KP-60X30X3;Dikdörtgen;60×30×3;60;30;3;3.77;4.81;20.5;6.8;6.83;4.53;2.06;1.19;0.17;22.65;45.29
KP-60X30X4;Dikdörtgen;60×30×4;60;30;4;4.83;6.15;24.7;8.06;8.23;5.37;2.0;1.14;0.166;28.96;57.91
KP-60X30X5;Dikdörtgen;60×30×5;60;30;5;5.77;7.36;27.74;8.91;9.25;5.94;1.94;1.1;0.163;34.65;69.29
KP-60X40X2;Dikdörtgen;60×40×2;60;40;2;2.93;3.74;18.41;9.83;6.14;4.92;2.22;1.62;0.193;17.6;35.2
KP-60X40X2.5;Dikdörtgen;60×40×2,5;60;40;2.5;3.6;4.59;22.07;11.74;7.36;5.87;2.19;1.6;0.191;21.61;43.23
KP-60X40X3;Dikdörtgen;60×40×3;60;40;3;4.25;5.41;25.38;13.44;8.46;6.72;2.17;1.58;0.19;25.47;50.95
KP-60X40X4;Dikdörtgen;60×40×4;60;40;4;5.45;6.95;30.99;16.28;10.33;8.14;2.11;1.53;0.186;32.72;65.45
KP-60X40X5;Dikdörtgen;60×40×5;60;40;5;6.56;8.36;35.33;18.43;11.78;9.21;2.06;1.48;0.183;39.36;78.71
KP-70X30X2;Dikdörtgen;70×30×2;70;30;2;2.93;3.74;22.22;5.86;6.35;3.91;2.44;1.25;0.193;17.6;35.2
KP-70X30X2.5;Dikdörtgen;70×30×2,5;70;30;2.5;3.6;4.59;26.62;6.95;7.61;4.63;2.41;1.23;0.191;21.61;43.23
KP-70X30X3;Dikdörtgen;70×30×3;70;30;3;4.25;5.41;30.57;7.9;8.74;5.26;2.38;1.21;0.19;25.47;50.95
KP-70X30X4;Dikdörtgen;70×30×4;70;30;4;5.45;6.95;37.23;9.42;10.64;6.28;2.31;1.16;0.186;32.72;65.45
KP-70X30X5;Dikdörtgen;70×30×5;70;30;5;6.56;8.36;42.29;10.49;12.08;6.99;2.25;1.12;0.183;39.36;78.71
KP-70X40X2;Dikdörtgen;70×40×2;70;40;2;3.25;4.14;26.85;11.28;7.67;5.64;2.55;1.65;0.213;19.49;38.97
